frame,file_loc,stereo_calib_partners,upper_side,video,category,imgpoints_index,stereo_partner
616,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-1_15-17-14-calibration/raw_imgs/cam-1_15-17-14-calibration_616.png,[],-,cam-1_15-17-14-calibration,original,,[]
620,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-1_15-17-14-calibration/raw_imgs/cam-1_15-17-14-calibration_620.png,[],-,cam-1_15-17-14-calibration,original,,[]
624,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-1_15-17-14-calibration/raw_imgs/cam-1_15-17-14-calibration_624.png,[],-,cam-1_15-17-14-calibration,original,,[]
628,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-1_15-17-14-calibration/raw_imgs/cam-1_15-17-14-calibration_628.png,[],!,cam-1_15-17-14-calibration,original,,[]
632,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-1_15-17-14-calibration/raw_imgs/cam-1_15-17-14-calibration_632.png,[],-,cam-1_15-17-14-calibration,original,,[]
636,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-1_15-17-14-calibration/raw_imgs/cam-1_15-17-14-calibration_636.png,[],-,cam-1_15-17-14-calibration,original,,[]
640,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-1_15-17-14-calibration/raw_imgs/cam-1_15-17-14-calibration_640.png,[],-,cam-1_15-17-14-calibration,original,,[]
644,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-1_15-17-14-calibration/raw_imgs/cam-1_15-17-14-calibration_644.png,[],-,cam-1_15-17-14-calibration,original,,[]
648,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-1_15-17-14-calibration/raw_imgs/cam-1_15-17-14-calibration_648.png,[],-,cam-1_15-17-14-calibration,original,,[]
652,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-1_15-17-14-calibration/raw_imgs/cam-1_15-17-14-calibration_652.png,[],-,cam-1_15-17-14-calibration,original,,[]
656,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-1_15-17-14-calibration/raw_imgs/cam-1_15-17-14-calibration_656.png,[],-,cam-1_15-17-14-calibration,original,,[]
660,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-1_15-17-14-calibration/raw_imgs/cam-1_15-17-14-calibration_660.png,[],-,cam-1_15-17-14-calibration,original,,[]
664,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-1_15-17-14-calibration/raw_imgs/cam-1_15-17-14-calibration_664.png,[],-,cam-1_15-17-14-calibration,original,,[]
668,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-1_15-17-14-calibration/raw_imgs/cam-1_15-17-14-calibration_668.png,[],-,cam-1_15-17-14-calibration,original,,[]
