frame,file_loc,stereo_partner,upper_side,video,category,stereo_partners,imgpoints_index
160,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-4_15-17-14-calibration/raw_imgs/cam-4_15-17-14-calibration_160.png,['cam-2_15-17-14-calibration'],-,cam-4_15-17-14-calibration,original,[],
180,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-4_15-17-14-calibration/raw_imgs/cam-4_15-17-14-calibration_180.png,['cam-2_15-17-14-calibration'],-,cam-4_15-17-14-calibration,original,[],
200,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-4_15-17-14-calibration/raw_imgs/cam-4_15-17-14-calibration_200.png,['cam-2_15-17-14-calibration'],-,cam-4_15-17-14-calibration,original,[],
220,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-4_15-17-14-calibration/raw_imgs/cam-4_15-17-14-calibration_220.png,['cam-2_15-17-14-calibration'],-,cam-4_15-17-14-calibration,original,[],
240,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-4_15-17-14-calibration/raw_imgs/cam-4_15-17-14-calibration_240.png,['cam-2_15-17-14-calibration'],-,cam-4_15-17-14-calibration,original,[],
260,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-4_15-17-14-calibration/raw_imgs/cam-4_15-17-14-calibration_260.png,['cam-2_15-17-14-calibration'],-,cam-4_15-17-14-calibration,original,[],
280,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-4_15-17-14-calibration/raw_imgs/cam-4_15-17-14-calibration_280.png,['cam-2_15-17-14-calibration'],-,cam-4_15-17-14-calibration,original,[],
300,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-4_15-17-14-calibration/raw_imgs/cam-4_15-17-14-calibration_300.png,['cam-2_15-17-14-calibration'],-,cam-4_15-17-14-calibration,original,[],
320,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-4_15-17-14-calibration/raw_imgs/cam-4_15-17-14-calibration_320.png,['cam-2_15-17-14-calibration'],-,cam-4_15-17-14-calibration,original,[],
340,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-4_15-17-14-calibration/raw_imgs/cam-4_15-17-14-calibration_340.png,"['cam-2_15-17-14-calibration', 'cam-3_15-17-14-calibration']",-,cam-4_15-17-14-calibration,original,[],
360,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-4_15-17-14-calibration/raw_imgs/cam-4_15-17-14-calibration_360.png,['cam-3_15-17-14-calibration'],-,cam-4_15-17-14-calibration,original,[],
380,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-4_15-17-14-calibration/raw_imgs/cam-4_15-17-14-calibration_380.png,['cam-3_15-17-14-calibration'],-,cam-4_15-17-14-calibration,original,[],
400,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-4_15-17-14-calibration/raw_imgs/cam-4_15-17-14-calibration_400.png,['cam-3_15-17-14-calibration'],-,cam-4_15-17-14-calibration,original,[],
420,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-4_15-17-14-calibration/raw_imgs/cam-4_15-17-14-calibration_420.png,['cam-3_15-17-14-calibration'],-,cam-4_15-17-14-calibration,original,[],
440,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-4_15-17-14-calibration/raw_imgs/cam-4_15-17-14-calibration_440.png,['cam-3_15-17-14-calibration'],-,cam-4_15-17-14-calibration,original,[],
460,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-4_15-17-14-calibration/raw_imgs/cam-4_15-17-14-calibration_460.png,['cam-3_15-17-14-calibration'],-,cam-4_15-17-14-calibration,original,[],
480,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-4_15-17-14-calibration/raw_imgs/cam-4_15-17-14-calibration_480.png,['cam-3_15-17-14-calibration'],-,cam-4_15-17-14-calibration,original,[],
500,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-4_15-17-14-calibration/raw_imgs/cam-4_15-17-14-calibration_500.png,['cam-3_15-17-14-calibration'],-,cam-4_15-17-14-calibration,original,[],
520,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-4_15-17-14-calibration/raw_imgs/cam-4_15-17-14-calibration_520.png,['cam-3_15-17-14-calibration'],-,cam-4_15-17-14-calibration,original,[],
540,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-4_15-17-14-calibration/raw_imgs/cam-4_15-17-14-calibration_540.png,['cam-3_15-17-14-calibration'],-,cam-4_15-17-14-calibration,original,[],
560,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-4_15-17-14-calibration/raw_imgs/cam-4_15-17-14-calibration_560.png,['cam-3_15-17-14-calibration'],-,cam-4_15-17-14-calibration,original,[],
580,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-4_15-17-14-calibration/raw_imgs/cam-4_15-17-14-calibration_580.png,['cam-3_15-17-14-calibration'],-,cam-4_15-17-14-calibration,original,[],
600,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-4_15-17-14-calibration/raw_imgs/cam-4_15-17-14-calibration_600.png,['cam-3_15-17-14-calibration'],-,cam-4_15-17-14-calibration,original,[],
620,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-4_15-17-14-calibration/raw_imgs/cam-4_15-17-14-calibration_620.png,"['cam-1_15-17-14-calibration', 'cam-3_15-17-14-calibration']",-,cam-4_15-17-14-calibration,original,[],
640,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-4_15-17-14-calibration/raw_imgs/cam-4_15-17-14-calibration_640.png,"['cam-1_15-17-14-calibration', 'cam-3_15-17-14-calibration']",-,cam-4_15-17-14-calibration,original,[],
660,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-4_15-17-14-calibration/raw_imgs/cam-4_15-17-14-calibration_660.png,['cam-1_15-17-14-calibration'],-,cam-4_15-17-14-calibration,original,[],
680,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-4_15-17-14-calibration/raw_imgs/cam-4_15-17-14-calibration_680.png,['cam-1_15-17-14-calibration'],-,cam-4_15-17-14-calibration,original,[],
700,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-4_15-17-14-calibration/raw_imgs/cam-4_15-17-14-calibration_700.png,['cam-1_15-17-14-calibration'],-,cam-4_15-17-14-calibration,original,[],
720,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-4_15-17-14-calibration/raw_imgs/cam-4_15-17-14-calibration_720.png,['cam-1_15-17-14-calibration'],-,cam-4_15-17-14-calibration,original,[],
740,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-4_15-17-14-calibration/raw_imgs/cam-4_15-17-14-calibration_740.png,['cam-1_15-17-14-calibration'],-,cam-4_15-17-14-calibration,original,[],
760,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-4_15-17-14-calibration/raw_imgs/cam-4_15-17-14-calibration_760.png,['cam-1_15-17-14-calibration'],-,cam-4_15-17-14-calibration,original,[],
780,/mnt/c/Users/User/Documents/Studium/Bachelor/deepshapekit-v2/calibration/calib_outputs/cam-4_15-17-14-calibration/raw_imgs/cam-4_15-17-14-calibration_780.png,['cam-1_15-17-14-calibration'],-,cam-4_15-17-14-calibration,original,[],
