frame,file_loc,category,sub_index,folder
0,003_Fish Top R/origin/003_Fish Top R_0.png,origin,0,003_Fish Top R
1,003_Fish Top R/origin/003_Fish Top R_1.png,origin,0,003_Fish Top R
2,003_Fish Top R/origin/003_Fish Top R_2.png,origin,0,003_Fish Top R
3,003_Fish Top R/origin/003_Fish Top R_3.png,origin,0,003_Fish Top R
4,003_Fish Top R/origin/003_Fish Top R_4.png,origin,0,003_Fish Top R
5,003_Fish Top R/origin/003_Fish Top R_5.png,origin,0,003_Fish Top R
6,003_Fish Top R/origin/003_Fish Top R_6.png,origin,0,003_Fish Top R
7,003_Fish Top R/origin/003_Fish Top R_7.png,origin,0,003_Fish Top R
8,003_Fish Top R/origin/003_Fish Top R_8.png,origin,0,003_Fish Top R
9,003_Fish Top R/origin/003_Fish Top R_9.png,origin,0,003_Fish Top R
10,003_Fish Top R/origin/003_Fish Top R_10.png,origin,0,003_Fish Top R
11,003_Fish Top R/origin/003_Fish Top R_11.png,origin,0,003_Fish Top R
12,003_Fish Top R/origin/003_Fish Top R_12.png,origin,0,003_Fish Top R
13,003_Fish Top R/origin/003_Fish Top R_13.png,origin,0,003_Fish Top R
14,003_Fish Top R/origin/003_Fish Top R_14.png,origin,0,003_Fish Top R
15,003_Fish Top R/origin/003_Fish Top R_15.png,origin,0,003_Fish Top R
16,003_Fish Top R/origin/003_Fish Top R_16.png,origin,0,003_Fish Top R
17,003_Fish Top R/origin/003_Fish Top R_17.png,origin,0,003_Fish Top R
18,003_Fish Top R/origin/003_Fish Top R_18.png,origin,0,003_Fish Top R
19,003_Fish Top R/origin/003_Fish Top R_19.png,origin,0,003_Fish Top R
20,003_Fish Top R/origin/003_Fish Top R_20.png,origin,0,003_Fish Top R
21,003_Fish Top R/origin/003_Fish Top R_21.png,origin,0,003_Fish Top R
22,003_Fish Top R/origin/003_Fish Top R_22.png,origin,0,003_Fish Top R
23,003_Fish Top R/origin/003_Fish Top R_23.png,origin,0,003_Fish Top R
24,003_Fish Top R/origin/003_Fish Top R_24.png,origin,0,003_Fish Top R
25,003_Fish Top R/origin/003_Fish Top R_25.png,origin,0,003_Fish Top R
26,003_Fish Top R/origin/003_Fish Top R_26.png,origin,0,003_Fish Top R
27,003_Fish Top R/origin/003_Fish Top R_27.png,origin,0,003_Fish Top R
28,003_Fish Top R/origin/003_Fish Top R_28.png,origin,0,003_Fish Top R
29,003_Fish Top R/origin/003_Fish Top R_29.png,origin,0,003_Fish Top R
30,003_Fish Top R/origin/003_Fish Top R_30.png,origin,0,003_Fish Top R
31,003_Fish Top R/origin/003_Fish Top R_31.png,origin,0,003_Fish Top R
32,003_Fish Top R/origin/003_Fish Top R_32.png,origin,0,003_Fish Top R
33,003_Fish Top R/origin/003_Fish Top R_33.png,origin,0,003_Fish Top R
34,003_Fish Top R/origin/003_Fish Top R_34.png,origin,0,003_Fish Top R
35,003_Fish Top R/origin/003_Fish Top R_35.png,origin,0,003_Fish Top R
36,003_Fish Top R/origin/003_Fish Top R_36.png,origin,0,003_Fish Top R
37,003_Fish Top R/origin/003_Fish Top R_37.png,origin,0,003_Fish Top R
38,003_Fish Top R/origin/003_Fish Top R_38.png,origin,0,003_Fish Top R
39,003_Fish Top R/origin/003_Fish Top R_39.png,origin,0,003_Fish Top R
40,003_Fish Top R/origin/003_Fish Top R_40.png,origin,0,003_Fish Top R
41,003_Fish Top R/origin/003_Fish Top R_41.png,origin,0,003_Fish Top R
42,003_Fish Top R/origin/003_Fish Top R_42.png,origin,0,003_Fish Top R
43,003_Fish Top R/origin/003_Fish Top R_43.png,origin,0,003_Fish Top R
44,003_Fish Top R/origin/003_Fish Top R_44.png,origin,0,003_Fish Top R
45,003_Fish Top R/origin/003_Fish Top R_45.png,origin,0,003_Fish Top R
46,003_Fish Top R/origin/003_Fish Top R_46.png,origin,0,003_Fish Top R
47,003_Fish Top R/origin/003_Fish Top R_47.png,origin,0,003_Fish Top R
48,003_Fish Top R/origin/003_Fish Top R_48.png,origin,0,003_Fish Top R
