frame,file_loc,category,sub_index,folder,bbox
2,003_Fish Top R/cropped/image_2_0.png,cropped,0,003_Fish Top R,"[287, 169, 315, 234]"
2,003_Fish Top R/mask/image_2_0_mask.png,mask,0,003_Fish Top R,"[287, 169, 315, 234]"
2,003_Fish Top R/mask_full/image_2_0_mask_full.png,mask_full,0,003_Fish Top R,"[287, 169, 315, 234]"
2,003_Fish Top R/bbox-masked_image/image_2_0_bbox-masked.png,bbox-masked,0,003_Fish Top R,"[287, 169, 315, 234]"
3,003_Fish Top R/cropped/image_3_0.png,cropped,0,003_Fish Top R,"[287, 169, 312, 233]"
3,003_Fish Top R/mask/image_3_0_mask.png,mask,0,003_Fish Top R,"[287, 169, 312, 233]"
3,003_Fish Top R/mask_full/image_3_0_mask_full.png,mask_full,0,003_Fish Top R,"[287, 169, 312, 233]"
3,003_Fish Top R/bbox-masked_image/image_3_0_bbox-masked.png,bbox-masked,0,003_Fish Top R,"[287, 169, 312, 233]"
3,003_Fish Top R/cropped/image_3_1.png,cropped,1,003_Fish Top R,"[287, 169, 314, 273]"
3,003_Fish Top R/mask/image_3_1_mask.png,mask,1,003_Fish Top R,"[287, 169, 314, 273]"
3,003_Fish Top R/mask_full/image_3_1_mask_full.png,mask_full,1,003_Fish Top R,"[287, 169, 314, 273]"
3,003_Fish Top R/bbox-masked_image/image_3_1_bbox-masked.png,bbox-masked,1,003_Fish Top R,"[287, 169, 314, 273]"
4,003_Fish Top R/cropped/image_4_0.png,cropped,0,003_Fish Top R,"[279, 169, 306, 233]"
4,003_Fish Top R/mask/image_4_0_mask.png,mask,0,003_Fish Top R,"[279, 169, 306, 233]"
4,003_Fish Top R/mask_full/image_4_0_mask_full.png,mask_full,0,003_Fish Top R,"[279, 169, 306, 233]"
4,003_Fish Top R/bbox-masked_image/image_4_0_bbox-masked.png,bbox-masked,0,003_Fish Top R,"[279, 169, 306, 233]"
5,003_Fish Top R/cropped/image_5_0.png,cropped,0,003_Fish Top R,"[271, 170, 305, 233]"
5,003_Fish Top R/mask/image_5_0_mask.png,mask,0,003_Fish Top R,"[271, 170, 305, 233]"
5,003_Fish Top R/mask_full/image_5_0_mask_full.png,mask_full,0,003_Fish Top R,"[271, 170, 305, 233]"
5,003_Fish Top R/bbox-masked_image/image_5_0_bbox-masked.png,bbox-masked,0,003_Fish Top R,"[271, 170, 305, 233]"
5,003_Fish Top R/cropped/image_5_1.png,cropped,1,003_Fish Top R,"[271, 169, 306, 278]"
5,003_Fish Top R/mask/image_5_1_mask.png,mask,1,003_Fish Top R,"[271, 169, 306, 278]"
5,003_Fish Top R/mask_full/image_5_1_mask_full.png,mask_full,1,003_Fish Top R,"[271, 169, 306, 278]"
5,003_Fish Top R/bbox-masked_image/image_5_1_bbox-masked.png,bbox-masked,1,003_Fish Top R,"[271, 169, 306, 278]"
6,003_Fish Top R/cropped/image_6_0.png,cropped,0,003_Fish Top R,"[262, 172, 299, 234]"
6,003_Fish Top R/mask/image_6_0_mask.png,mask,0,003_Fish Top R,"[262, 172, 299, 234]"
6,003_Fish Top R/mask_full/image_6_0_mask_full.png,mask_full,0,003_Fish Top R,"[262, 172, 299, 234]"
6,003_Fish Top R/bbox-masked_image/image_6_0_bbox-masked.png,bbox-masked,0,003_Fish Top R,"[262, 172, 299, 234]"
7,003_Fish Top R/cropped/image_7_0.png,cropped,0,003_Fish Top R,"[255, 175, 293, 234]"
7,003_Fish Top R/mask/image_7_0_mask.png,mask,0,003_Fish Top R,"[255, 175, 293, 234]"
7,003_Fish Top R/mask_full/image_7_0_mask_full.png,mask_full,0,003_Fish Top R,"[255, 175, 293, 234]"
7,003_Fish Top R/bbox-masked_image/image_7_0_bbox-masked.png,bbox-masked,0,003_Fish Top R,"[255, 175, 293, 234]"
8,003_Fish Top R/cropped/image_8_0.png,cropped,0,003_Fish Top R,"[245, 177, 288, 237]"
8,003_Fish Top R/mask/image_8_0_mask.png,mask,0,003_Fish Top R,"[245, 177, 288, 237]"
8,003_Fish Top R/mask_full/image_8_0_mask_full.png,mask_full,0,003_Fish Top R,"[245, 177, 288, 237]"
8,003_Fish Top R/bbox-masked_image/image_8_0_bbox-masked.png,bbox-masked,0,003_Fish Top R,"[245, 177, 288, 237]"
9,003_Fish Top R/cropped/image_9_0.png,cropped,0,003_Fish Top R,"[237, 184, 285, 240]"
9,003_Fish Top R/mask/image_9_0_mask.png,mask,0,003_Fish Top R,"[237, 184, 285, 240]"
9,003_Fish Top R/mask_full/image_9_0_mask_full.png,mask_full,0,003_Fish Top R,"[237, 184, 285, 240]"
9,003_Fish Top R/bbox-masked_image/image_9_0_bbox-masked.png,bbox-masked,0,003_Fish Top R,"[237, 184, 285, 240]"
9,003_Fish Top R/cropped/image_9_1.png,cropped,1,003_Fish Top R,"[0, 151, 22, 208]"
9,003_Fish Top R/mask/image_9_1_mask.png,mask,1,003_Fish Top R,"[0, 151, 22, 208]"
9,003_Fish Top R/mask_full/image_9_1_mask_full.png,mask_full,1,003_Fish Top R,"[0, 151, 22, 208]"
9,003_Fish Top R/bbox-masked_image/image_9_1_bbox-masked.png,bbox-masked,1,003_Fish Top R,"[0, 151, 22, 208]"
10,003_Fish Top R/cropped/image_10_0.png,cropped,0,003_Fish Top R,"[0, 155, 48, 212]"
10,003_Fish Top R/mask/image_10_0_mask.png,mask,0,003_Fish Top R,"[0, 155, 48, 212]"
10,003_Fish Top R/mask_full/image_10_0_mask_full.png,mask_full,0,003_Fish Top R,"[0, 155, 48, 212]"
10,003_Fish Top R/bbox-masked_image/image_10_0_bbox-masked.png,bbox-masked,0,003_Fish Top R,"[0, 155, 48, 212]"
10,003_Fish Top R/cropped/image_10_1.png,cropped,1,003_Fish Top R,"[230, 191, 280, 244]"
10,003_Fish Top R/mask/image_10_1_mask.png,mask,1,003_Fish Top R,"[230, 191, 280, 244]"
10,003_Fish Top R/mask_full/image_10_1_mask_full.png,mask_full,1,003_Fish Top R,"[230, 191, 280, 244]"
10,003_Fish Top R/bbox-masked_image/image_10_1_bbox-masked.png,bbox-masked,1,003_Fish Top R,"[230, 191, 280, 244]"
11,003_Fish Top R/cropped/image_11_0.png,cropped,0,003_Fish Top R,"[1, 155, 57, 214]"
11,003_Fish Top R/mask/image_11_0_mask.png,mask,0,003_Fish Top R,"[1, 155, 57, 214]"
11,003_Fish Top R/mask_full/image_11_0_mask_full.png,mask_full,0,003_Fish Top R,"[1, 155, 57, 214]"
11,003_Fish Top R/bbox-masked_image/image_11_0_bbox-masked.png,bbox-masked,0,003_Fish Top R,"[1, 155, 57, 214]"
11,003_Fish Top R/cropped/image_11_1.png,cropped,1,003_Fish Top R,"[224, 197, 276, 249]"
11,003_Fish Top R/mask/image_11_1_mask.png,mask,1,003_Fish Top R,"[224, 197, 276, 249]"
11,003_Fish Top R/mask_full/image_11_1_mask_full.png,mask_full,1,003_Fish Top R,"[224, 197, 276, 249]"
11,003_Fish Top R/bbox-masked_image/image_11_1_bbox-masked.png,bbox-masked,1,003_Fish Top R,"[224, 197, 276, 249]"
11,003_Fish Top R/cropped/image_11_2.png,cropped,2,003_Fish Top R,"[249, 269, 322, 357]"
11,003_Fish Top R/mask/image_11_2_mask.png,mask,2,003_Fish Top R,"[249, 269, 322, 357]"
11,003_Fish Top R/mask_full/image_11_2_mask_full.png,mask_full,2,003_Fish Top R,"[249, 269, 322, 357]"
11,003_Fish Top R/bbox-masked_image/image_11_2_bbox-masked.png,bbox-masked,2,003_Fish Top R,"[249, 269, 322, 357]"
