frame,file_loc,category,sub_index,folder
0,004a_Positive X (Fish Front)/origin/004a_Positive X (Fish Front)_0.png,origin,0,004a_Positive X (Fish Front)
1,004a_Positive X (Fish Front)/origin/004a_Positive X (Fish Front)_1.png,origin,0,004a_Positive X (Fish Front)
2,004a_Positive X (Fish Front)/origin/004a_Positive X (Fish Front)_2.png,origin,0,004a_Positive X (Fish Front)
3,004a_Positive X (Fish Front)/origin/004a_Positive X (Fish Front)_3.png,origin,0,004a_Positive X (Fish Front)
4,004a_Positive X (Fish Front)/origin/004a_Positive X (Fish Front)_4.png,origin,0,004a_Positive X (Fish Front)
5,004a_Positive X (Fish Front)/origin/004a_Positive X (Fish Front)_5.png,origin,0,004a_Positive X (Fish Front)
6,004a_Positive X (Fish Front)/origin/004a_Positive X (Fish Front)_6.png,origin,0,004a_Positive X (Fish Front)
7,004a_Positive X (Fish Front)/origin/004a_Positive X (Fish Front)_7.png,origin,0,004a_Positive X (Fish Front)
8,004a_Positive X (Fish Front)/origin/004a_Positive X (Fish Front)_8.png,origin,0,004a_Positive X (Fish Front)
9,004a_Positive X (Fish Front)/origin/004a_Positive X (Fish Front)_9.png,origin,0,004a_Positive X (Fish Front)
10,004a_Positive X (Fish Front)/origin/004a_Positive X (Fish Front)_10.png,origin,0,004a_Positive X (Fish Front)
11,004a_Positive X (Fish Front)/origin/004a_Positive X (Fish Front)_11.png,origin,0,004a_Positive X (Fish Front)
12,004a_Positive X (Fish Front)/origin/004a_Positive X (Fish Front)_12.png,origin,0,004a_Positive X (Fish Front)
13,004a_Positive X (Fish Front)/origin/004a_Positive X (Fish Front)_13.png,origin,0,004a_Positive X (Fish Front)
14,004a_Positive X (Fish Front)/origin/004a_Positive X (Fish Front)_14.png,origin,0,004a_Positive X (Fish Front)
15,004a_Positive X (Fish Front)/origin/004a_Positive X (Fish Front)_15.png,origin,0,004a_Positive X (Fish Front)
16,004a_Positive X (Fish Front)/origin/004a_Positive X (Fish Front)_16.png,origin,0,004a_Positive X (Fish Front)
17,004a_Positive X (Fish Front)/origin/004a_Positive X (Fish Front)_17.png,origin,0,004a_Positive X (Fish Front)
18,004a_Positive X (Fish Front)/origin/004a_Positive X (Fish Front)_18.png,origin,0,004a_Positive X (Fish Front)
19,004a_Positive X (Fish Front)/origin/004a_Positive X (Fish Front)_19.png,origin,0,004a_Positive X (Fish Front)
20,004a_Positive X (Fish Front)/origin/004a_Positive X (Fish Front)_20.png,origin,0,004a_Positive X (Fish Front)
21,004a_Positive X (Fish Front)/origin/004a_Positive X (Fish Front)_21.png,origin,0,004a_Positive X (Fish Front)
22,004a_Positive X (Fish Front)/origin/004a_Positive X (Fish Front)_22.png,origin,0,004a_Positive X (Fish Front)
23,004a_Positive X (Fish Front)/origin/004a_Positive X (Fish Front)_23.png,origin,0,004a_Positive X (Fish Front)
24,004a_Positive X (Fish Front)/origin/004a_Positive X (Fish Front)_24.png,origin,0,004a_Positive X (Fish Front)
25,004a_Positive X (Fish Front)/origin/004a_Positive X (Fish Front)_25.png,origin,0,004a_Positive X (Fish Front)
26,004a_Positive X (Fish Front)/origin/004a_Positive X (Fish Front)_26.png,origin,0,004a_Positive X (Fish Front)
27,004a_Positive X (Fish Front)/origin/004a_Positive X (Fish Front)_27.png,origin,0,004a_Positive X (Fish Front)
28,004a_Positive X (Fish Front)/origin/004a_Positive X (Fish Front)_28.png,origin,0,004a_Positive X (Fish Front)
29,004a_Positive X (Fish Front)/origin/004a_Positive X (Fish Front)_29.png,origin,0,004a_Positive X (Fish Front)
30,004a_Positive X (Fish Front)/origin/004a_Positive X (Fish Front)_30.png,origin,0,004a_Positive X (Fish Front)
31,004a_Positive X (Fish Front)/origin/004a_Positive X (Fish Front)_31.png,origin,0,004a_Positive X (Fish Front)
32,004a_Positive X (Fish Front)/origin/004a_Positive X (Fish Front)_32.png,origin,0,004a_Positive X (Fish Front)
33,004a_Positive X (Fish Front)/origin/004a_Positive X (Fish Front)_33.png,origin,0,004a_Positive X (Fish Front)
34,004a_Positive X (Fish Front)/origin/004a_Positive X (Fish Front)_34.png,origin,0,004a_Positive X (Fish Front)
35,004a_Positive X (Fish Front)/origin/004a_Positive X (Fish Front)_35.png,origin,0,004a_Positive X (Fish Front)
36,004a_Positive X (Fish Front)/origin/004a_Positive X (Fish Front)_36.png,origin,0,004a_Positive X (Fish Front)
37,004a_Positive X (Fish Front)/origin/004a_Positive X (Fish Front)_37.png,origin,0,004a_Positive X (Fish Front)
38,004a_Positive X (Fish Front)/origin/004a_Positive X (Fish Front)_38.png,origin,0,004a_Positive X (Fish Front)
39,004a_Positive X (Fish Front)/origin/004a_Positive X (Fish Front)_39.png,origin,0,004a_Positive X (Fish Front)
40,004a_Positive X (Fish Front)/origin/004a_Positive X (Fish Front)_40.png,origin,0,004a_Positive X (Fish Front)
41,004a_Positive X (Fish Front)/origin/004a_Positive X (Fish Front)_41.png,origin,0,004a_Positive X (Fish Front)
42,004a_Positive X (Fish Front)/origin/004a_Positive X (Fish Front)_42.png,origin,0,004a_Positive X (Fish Front)
43,004a_Positive X (Fish Front)/origin/004a_Positive X (Fish Front)_43.png,origin,0,004a_Positive X (Fish Front)
44,004a_Positive X (Fish Front)/origin/004a_Positive X (Fish Front)_44.png,origin,0,004a_Positive X (Fish Front)
45,004a_Positive X (Fish Front)/origin/004a_Positive X (Fish Front)_45.png,origin,0,004a_Positive X (Fish Front)
46,004a_Positive X (Fish Front)/origin/004a_Positive X (Fish Front)_46.png,origin,0,004a_Positive X (Fish Front)
47,004a_Positive X (Fish Front)/origin/004a_Positive X (Fish Front)_47.png,origin,0,004a_Positive X (Fish Front)
48,004a_Positive X (Fish Front)/origin/004a_Positive X (Fish Front)_48.png,origin,0,004a_Positive X (Fish Front)
49,004a_Positive X (Fish Front)/origin/004a_Positive X (Fish Front)_49.png,origin,0,004a_Positive X (Fish Front)
50,004a_Positive X (Fish Front)/origin/004a_Positive X (Fish Front)_50.png,origin,0,004a_Positive X (Fish Front)
