frame,file_loc,category,sub_index,folder,bbox
0,004a_Positive X (Fish Front)/cropped/image_0_0.png,cropped,0,004a_Positive X (Fish Front),"[481, 212, 530, 331]"
0,004a_Positive X (Fish Front)/mask/image_0_0_mask.png,mask,0,004a_Positive X (Fish Front),"[481, 212, 530, 331]"
0,004a_Positive X (Fish Front)/mask_full/image_0_0_mask_full.png,mask_full,0,004a_Positive X (Fish Front),"[481, 212, 530, 331]"
0,004a_Positive X (Fish Front)/bbox-masked_image/image_0_0_bbox-masked.png,bbox-masked,0,004a_Positive X (Fish Front),"[481, 212, 530, 331]"
0,004a_Positive X (Fish Front)/cropped/image_0_1.png,cropped,1,004a_Positive X (Fish Front),"[439, 211, 530, 331]"
0,004a_Positive X (Fish Front)/mask/image_0_1_mask.png,mask,1,004a_Positive X (Fish Front),"[439, 211, 530, 331]"
0,004a_Positive X (Fish Front)/mask_full/image_0_1_mask_full.png,mask_full,1,004a_Positive X (Fish Front),"[439, 211, 530, 331]"
0,004a_Positive X (Fish Front)/bbox-masked_image/image_0_1_bbox-masked.png,bbox-masked,1,004a_Positive X (Fish Front),"[439, 211, 530, 331]"
1,004a_Positive X (Fish Front)/cropped/image_1_0.png,cropped,0,004a_Positive X (Fish Front),"[496, 212, 530, 331]"
1,004a_Positive X (Fish Front)/mask/image_1_0_mask.png,mask,0,004a_Positive X (Fish Front),"[496, 212, 530, 331]"
1,004a_Positive X (Fish Front)/mask_full/image_1_0_mask_full.png,mask_full,0,004a_Positive X (Fish Front),"[496, 212, 530, 331]"
1,004a_Positive X (Fish Front)/bbox-masked_image/image_1_0_bbox-masked.png,bbox-masked,0,004a_Positive X (Fish Front),"[496, 212, 530, 331]"
2,004a_Positive X (Fish Front)/cropped/image_2_0.png,cropped,0,004a_Positive X (Fish Front),"[485, 212, 528, 331]"
2,004a_Positive X (Fish Front)/mask/image_2_0_mask.png,mask,0,004a_Positive X (Fish Front),"[485, 212, 528, 331]"
2,004a_Positive X (Fish Front)/mask_full/image_2_0_mask_full.png,mask_full,0,004a_Positive X (Fish Front),"[485, 212, 528, 331]"
2,004a_Positive X (Fish Front)/bbox-masked_image/image_2_0_bbox-masked.png,bbox-masked,0,004a_Positive X (Fish Front),"[485, 212, 528, 331]"
3,004a_Positive X (Fish Front)/cropped/image_3_0.png,cropped,0,004a_Positive X (Fish Front),"[498, 212, 537, 331]"
3,004a_Positive X (Fish Front)/mask/image_3_0_mask.png,mask,0,004a_Positive X (Fish Front),"[498, 212, 537, 331]"
3,004a_Positive X (Fish Front)/mask_full/image_3_0_mask_full.png,mask_full,0,004a_Positive X (Fish Front),"[498, 212, 537, 331]"
3,004a_Positive X (Fish Front)/bbox-masked_image/image_3_0_bbox-masked.png,bbox-masked,0,004a_Positive X (Fish Front),"[498, 212, 537, 331]"
4,004a_Positive X (Fish Front)/cropped/image_4_0.png,cropped,0,004a_Positive X (Fish Front),"[497, 212, 558, 331]"
4,004a_Positive X (Fish Front)/mask/image_4_0_mask.png,mask,0,004a_Positive X (Fish Front),"[497, 212, 558, 331]"
4,004a_Positive X (Fish Front)/mask_full/image_4_0_mask_full.png,mask_full,0,004a_Positive X (Fish Front),"[497, 212, 558, 331]"
4,004a_Positive X (Fish Front)/bbox-masked_image/image_4_0_bbox-masked.png,bbox-masked,0,004a_Positive X (Fish Front),"[497, 212, 558, 331]"
5,004a_Positive X (Fish Front)/cropped/image_5_0.png,cropped,0,004a_Positive X (Fish Front),"[470, 211, 576, 331]"
5,004a_Positive X (Fish Front)/mask/image_5_0_mask.png,mask,0,004a_Positive X (Fish Front),"[470, 211, 576, 331]"
