frame,file_loc,category,sub_index,folder
0,006_Positive Z (Fish Ventral Side)/origin/006_Positive Z (Fish Ventral Side)_0.png,origin,0,006_Positive Z (Fish Ventral Side)
1,006_Positive Z (Fish Ventral Side)/origin/006_Positive Z (Fish Ventral Side)_1.png,origin,0,006_Positive Z (Fish Ventral Side)
2,006_Positive Z (Fish Ventral Side)/origin/006_Positive Z (Fish Ventral Side)_2.png,origin,0,006_Positive Z (Fish Ventral Side)
3,006_Positive Z (Fish Ventral Side)/origin/006_Positive Z (Fish Ventral Side)_3.png,origin,0,006_Positive Z (Fish Ventral Side)
4,006_Positive Z (Fish Ventral Side)/origin/006_Positive Z (Fish Ventral Side)_4.png,origin,0,006_Positive Z (Fish Ventral Side)
5,006_Positive Z (Fish Ventral Side)/origin/006_Positive Z (Fish Ventral Side)_5.png,origin,0,006_Positive Z (Fish Ventral Side)
6,006_Positive Z (Fish Ventral Side)/origin/006_Positive Z (Fish Ventral Side)_6.png,origin,0,006_Positive Z (Fish Ventral Side)
7,006_Positive Z (Fish Ventral Side)/origin/006_Positive Z (Fish Ventral Side)_7.png,origin,0,006_Positive Z (Fish Ventral Side)
8,006_Positive Z (Fish Ventral Side)/origin/006_Positive Z (Fish Ventral Side)_8.png,origin,0,006_Positive Z (Fish Ventral Side)
9,006_Positive Z (Fish Ventral Side)/origin/006_Positive Z (Fish Ventral Side)_9.png,origin,0,006_Positive Z (Fish Ventral Side)
10,006_Positive Z (Fish Ventral Side)/origin/006_Positive Z (Fish Ventral Side)_10.png,origin,0,006_Positive Z (Fish Ventral Side)
11,006_Positive Z (Fish Ventral Side)/origin/006_Positive Z (Fish Ventral Side)_11.png,origin,0,006_Positive Z (Fish Ventral Side)
12,006_Positive Z (Fish Ventral Side)/origin/006_Positive Z (Fish Ventral Side)_12.png,origin,0,006_Positive Z (Fish Ventral Side)
13,006_Positive Z (Fish Ventral Side)/origin/006_Positive Z (Fish Ventral Side)_13.png,origin,0,006_Positive Z (Fish Ventral Side)
14,006_Positive Z (Fish Ventral Side)/origin/006_Positive Z (Fish Ventral Side)_14.png,origin,0,006_Positive Z (Fish Ventral Side)
15,006_Positive Z (Fish Ventral Side)/origin/006_Positive Z (Fish Ventral Side)_15.png,origin,0,006_Positive Z (Fish Ventral Side)
16,006_Positive Z (Fish Ventral Side)/origin/006_Positive Z (Fish Ventral Side)_16.png,origin,0,006_Positive Z (Fish Ventral Side)
17,006_Positive Z (Fish Ventral Side)/origin/006_Positive Z (Fish Ventral Side)_17.png,origin,0,006_Positive Z (Fish Ventral Side)
18,006_Positive Z (Fish Ventral Side)/origin/006_Positive Z (Fish Ventral Side)_18.png,origin,0,006_Positive Z (Fish Ventral Side)
19,006_Positive Z (Fish Ventral Side)/origin/006_Positive Z (Fish Ventral Side)_19.png,origin,0,006_Positive Z (Fish Ventral Side)
20,006_Positive Z (Fish Ventral Side)/origin/006_Positive Z (Fish Ventral Side)_20.png,origin,0,006_Positive Z (Fish Ventral Side)
21,006_Positive Z (Fish Ventral Side)/origin/006_Positive Z (Fish Ventral Side)_21.png,origin,0,006_Positive Z (Fish Ventral Side)
22,006_Positive Z (Fish Ventral Side)/origin/006_Positive Z (Fish Ventral Side)_22.png,origin,0,006_Positive Z (Fish Ventral Side)
23,006_Positive Z (Fish Ventral Side)/origin/006_Positive Z (Fish Ventral Side)_23.png,origin,0,006_Positive Z (Fish Ventral Side)
24,006_Positive Z (Fish Ventral Side)/origin/006_Positive Z (Fish Ventral Side)_24.png,origin,0,006_Positive Z (Fish Ventral Side)
25,006_Positive Z (Fish Ventral Side)/origin/006_Positive Z (Fish Ventral Side)_25.png,origin,0,006_Positive Z (Fish Ventral Side)
26,006_Positive Z (Fish Ventral Side)/origin/006_Positive Z (Fish Ventral Side)_26.png,origin,0,006_Positive Z (Fish Ventral Side)
27,006_Positive Z (Fish Ventral Side)/origin/006_Positive Z (Fish Ventral Side)_27.png,origin,0,006_Positive Z (Fish Ventral Side)
28,006_Positive Z (Fish Ventral Side)/origin/006_Positive Z (Fish Ventral Side)_28.png,origin,0,006_Positive Z (Fish Ventral Side)
29,006_Positive Z (Fish Ventral Side)/origin/006_Positive Z (Fish Ventral Side)_29.png,origin,0,006_Positive Z (Fish Ventral Side)
