frame,file_loc,category,sub_index,folder,bbox
65,006_Positive Z (Fish Ventral Side)/cropped/image_65_0.png,cropped,0,006_Positive Z (Fish Ventral Side),"[460, 341, 620, 381]"
65,006_Positive Z (Fish Ventral Side)/mask/image_65_0_mask.png,mask,0,006_Positive Z (Fish Ventral Side),"[460, 341, 620, 381]"
65,006_Positive Z (Fish Ventral Side)/mask_full/image_65_0_mask_full.png,mask_full,0,006_Positive Z (Fish Ventral Side),"[460, 341, 620, 381]"
65,006_Positive Z (Fish Ventral Side)/bbox-masked_image/image_65_0_bbox-masked.png,bbox-masked,0,006_Positive Z (Fish Ventral Side),"[460, 341, 620, 381]"
66,006_Positive Z (Fish Ventral Side)/cropped/image_66_0.png,cropped,0,006_Positive Z (Fish Ventral Side),"[456, 341, 618, 382]"
66,006_Positive Z (Fish Ventral Side)/mask/image_66_0_mask.png,mask,0,006_Positive Z (Fish Ventral Side),"[456, 341, 618, 382]"
66,006_Positive Z (Fish Ventral Side)/mask_full/image_66_0_mask_full.png,mask_full,0,006_Positive Z (Fish Ventral Side),"[456, 341, 618, 382]"
66,006_Positive Z (Fish Ventral Side)/bbox-masked_image/image_66_0_bbox-masked.png,bbox-masked,0,006_Positive Z (Fish Ventral Side),"[456, 341, 618, 382]"
67,006_Positive Z (Fish Ventral Side)/cropped/image_67_0.png,cropped,0,006_Positive Z (Fish Ventral Side),"[454, 342, 615, 384]"
67,006_Positive Z (Fish Ventral Side)/mask/image_67_0_mask.png,mask,0,006_Positive Z (Fish Ventral Side),"[454, 342, 615, 384]"
67,006_Positive Z (Fish Ventral Side)/mask_full/image_67_0_mask_full.png,mask_full,0,006_Positive Z (Fish Ventral Side),"[454, 342, 615, 384]"
67,006_Positive Z (Fish Ventral Side)/bbox-masked_image/image_67_0_bbox-masked.png,bbox-masked,0,006_Positive Z (Fish Ventral Side),"[454, 342, 615, 384]"
68,006_Positive Z (Fish Ventral Side)/cropped/image_68_0.png,cropped,0,006_Positive Z (Fish Ventral Side),"[451, 345, 609, 387]"
68,006_Positive Z (Fish Ventral Side)/mask/image_68_0_mask.png,mask,0,006_Positive Z (Fish Ventral Side),"[451, 345, 609, 387]"
68,006_Positive Z (Fish Ventral Side)/mask_full/image_68_0_mask_full.png,mask_full,0,006_Positive Z (Fish Ventral Side),"[451, 345, 609, 387]"
68,006_Positive Z (Fish Ventral Side)/bbox-masked_image/image_68_0_bbox-masked.png,bbox-masked,0,006_Positive Z (Fish Ventral Side),"[451, 345, 609, 387]"
69,006_Positive Z (Fish Ventral Side)/cropped/image_69_0.png,cropped,0,006_Positive Z (Fish Ventral Side),"[449, 347, 602, 389]"
69,006_Positive Z (Fish Ventral Side)/mask/image_69_0_mask.png,mask,0,006_Positive Z (Fish Ventral Side),"[449, 347, 602, 389]"
69,006_Positive Z (Fish Ventral Side)/mask_full/image_69_0_mask_full.png,mask_full,0,006_Positive Z (Fish Ventral Side),"[449, 347, 602, 389]"
69,006_Positive Z (Fish Ventral Side)/bbox-masked_image/image_69_0_bbox-masked.png,bbox-masked,0,006_Positive Z (Fish Ventral Side),"[449, 347, 602, 389]"
70,006_Positive Z (Fish Ventral Side)/cropped/image_70_0.png,cropped,0,006_Positive Z (Fish Ventral Side),"[445, 348, 598, 393]"
70,006_Positive Z (Fish Ventral Side)/mask/image_70_0_mask.png,mask,0,006_Positive Z (Fish Ventral Side),"[445, 348, 598, 393]"
70,006_Positive Z (Fish Ventral Side)/mask_full/image_70_0_mask_full.png,mask_full,0,006_Positive Z (Fish Ventral Side),"[445, 348, 598, 393]"
70,006_Positive Z (Fish Ventral Side)/bbox-masked_image/image_70_0_bbox-masked.png,bbox-masked,0,006_Positive Z (Fish Ventral Side),"[445, 348, 598, 393]"
71,006_Positive Z (Fish Ventral Side)/cropped/image_71_0.png,cropped,0,006_Positive Z (Fish Ventral Side),"[442, 350, 594, 398]"
71,006_Positive Z (Fish Ventral Side)/mask/image_71_0_mask.png,mask,0,006_Positive Z (Fish Ventral Side),"[442, 350, 594, 398]"
71,006_Positive Z (Fish Ventral Side)/mask_full/image_71_0_mask_full.png,mask_full,0,006_Positive Z (Fish Ventral Side),"[442, 350, 594, 398]"
71,006_Positive Z (Fish Ventral Side)/bbox-masked_image/image_71_0_bbox-masked.png,bbox-masked,0,006_Positive Z (Fish Ventral Side),"[442, 350, 594, 398]"
