frame,file_loc,category,sub_index,folder
0,bottom/origin/bottom_0.png,origin,0,bottom
1,bottom/origin/bottom_1.png,origin,0,bottom
2,bottom/origin/bottom_2.png,origin,0,bottom
3,bottom/origin/bottom_3.png,origin,0,bottom
4,bottom/origin/bottom_4.png,origin,0,bottom
5,bottom/origin/bottom_5.png,origin,0,bottom
6,bottom/origin/bottom_6.png,origin,0,bottom
7,bottom/origin/bottom_7.png,origin,0,bottom
8,bottom/origin/bottom_8.png,origin,0,bottom
9,bottom/origin/bottom_9.png,origin,0,bottom
10,bottom/origin/bottom_10.png,origin,0,bottom
11,bottom/origin/bottom_11.png,origin,0,bottom
12,bottom/origin/bottom_12.png,origin,0,bottom
13,bottom/origin/bottom_13.png,origin,0,bottom
14,bottom/origin/bottom_14.png,origin,0,bottom
15,bottom/origin/bottom_15.png,origin,0,bottom
16,bottom/origin/bottom_16.png,origin,0,bottom
17,bottom/origin/bottom_17.png,origin,0,bottom
18,bottom/origin/bottom_18.png,origin,0,bottom
19,bottom/origin/bottom_19.png,origin,0,bottom
20,bottom/origin/bottom_20.png,origin,0,bottom
21,bottom/origin/bottom_21.png,origin,0,bottom
22,bottom/origin/bottom_22.png,origin,0,bottom
23,bottom/origin/bottom_23.png,origin,0,bottom
24,bottom/origin/bottom_24.png,origin,0,bottom
25,bottom/origin/bottom_25.png,origin,0,bottom
26,bottom/origin/bottom_26.png,origin,0,bottom
27,bottom/origin/bottom_27.png,origin,0,bottom
28,bottom/origin/bottom_28.png,origin,0,bottom
29,bottom/origin/bottom_29.png,origin,0,bottom
30,bottom/origin/bottom_30.png,origin,0,bottom
31,bottom/origin/bottom_31.png,origin,0,bottom
32,bottom/origin/bottom_32.png,origin,0,bottom
33,bottom/origin/bottom_33.png,origin,0,bottom
34,bottom/origin/bottom_34.png,origin,0,bottom
35,bottom/origin/bottom_35.png,origin,0,bottom
36,bottom/origin/bottom_36.png,origin,0,bottom
37,bottom/origin/bottom_37.png,origin,0,bottom
38,bottom/origin/bottom_38.png,origin,0,bottom
39,bottom/origin/bottom_39.png,origin,0,bottom
40,bottom/origin/bottom_40.png,origin,0,bottom
41,bottom/origin/bottom_41.png,origin,0,bottom
42,bottom/origin/bottom_42.png,origin,0,bottom
43,bottom/origin/bottom_43.png,origin,0,bottom
44,bottom/origin/bottom_44.png,origin,0,bottom
45,bottom/origin/bottom_45.png,origin,0,bottom
46,bottom/origin/bottom_46.png,origin,0,bottom
47,bottom/origin/bottom_47.png,origin,0,bottom
48,bottom/origin/bottom_48.png,origin,0,bottom
49,bottom/origin/bottom_49.png,origin,0,bottom
50,bottom/origin/bottom_50.png,origin,0,bottom
51,bottom/origin/bottom_51.png,origin,0,bottom
52,bottom/origin/bottom_52.png,origin,0,bottom
53,bottom/origin/bottom_53.png,origin,0,bottom
54,bottom/origin/bottom_54.png,origin,0,bottom
55,bottom/origin/bottom_55.png,origin,0,bottom
56,bottom/origin/bottom_56.png,origin,0,bottom
57,bottom/origin/bottom_57.png,origin,0,bottom
58,bottom/origin/bottom_58.png,origin,0,bottom
59,bottom/origin/bottom_59.png,origin,0,bottom
60,bottom/origin/bottom_60.png,origin,0,bottom
61,bottom/origin/bottom_61.png,origin,0,bottom
62,bottom/origin/bottom_62.png,origin,0,bottom
63,bottom/origin/bottom_63.png,origin,0,bottom
64,bottom/origin/bottom_64.png,origin,0,bottom
65,bottom/origin/bottom_65.png,origin,0,bottom
66,bottom/origin/bottom_66.png,origin,0,bottom
67,bottom/origin/bottom_67.png,origin,0,bottom
68,bottom/origin/bottom_68.png,origin,0,bottom
69,bottom/origin/bottom_69.png,origin,0,bottom
70,bottom/origin/bottom_70.png,origin,0,bottom
71,bottom/origin/bottom_71.png,origin,0,bottom
72,bottom/origin/bottom_72.png,origin,0,bottom
73,bottom/origin/bottom_73.png,origin,0,bottom
74,bottom/origin/bottom_74.png,origin,0,bottom
75,bottom/origin/bottom_75.png,origin,0,bottom
76,bottom/origin/bottom_76.png,origin,0,bottom
77,bottom/origin/bottom_77.png,origin,0,bottom
78,bottom/origin/bottom_78.png,origin,0,bottom
79,bottom/origin/bottom_79.png,origin,0,bottom
80,bottom/origin/bottom_80.png,origin,0,bottom
81,bottom/origin/bottom_81.png,origin,0,bottom
82,bottom/origin/bottom_82.png,origin,0,bottom
83,bottom/origin/bottom_83.png,origin,0,bottom
84,bottom/origin/bottom_84.png,origin,0,bottom
85,bottom/origin/bottom_85.png,origin,0,bottom
86,bottom/origin/bottom_86.png,origin,0,bottom
87,bottom/origin/bottom_87.png,origin,0,bottom
88,bottom/origin/bottom_88.png,origin,0,bottom
89,bottom/origin/bottom_89.png,origin,0,bottom
90,bottom/origin/bottom_90.png,origin,0,bottom
91,bottom/origin/bottom_91.png,origin,0,bottom
92,bottom/origin/bottom_92.png,origin,0,bottom
93,bottom/origin/bottom_93.png,origin,0,bottom
94,bottom/origin/bottom_94.png,origin,0,bottom
95,bottom/origin/bottom_95.png,origin,0,bottom
96,bottom/origin/bottom_96.png,origin,0,bottom
97,bottom/origin/bottom_97.png,origin,0,bottom
98,bottom/origin/bottom_98.png,origin,0,bottom
99,bottom/origin/bottom_99.png,origin,0,bottom
100,bottom/origin/bottom_100.png,origin,0,bottom
101,bottom/origin/bottom_101.png,origin,0,bottom
102,bottom/origin/bottom_102.png,origin,0,bottom
103,bottom/origin/bottom_103.png,origin,0,bottom
104,bottom/origin/bottom_104.png,origin,0,bottom
105,bottom/origin/bottom_105.png,origin,0,bottom
106,bottom/origin/bottom_106.png,origin,0,bottom
107,bottom/origin/bottom_107.png,origin,0,bottom
108,bottom/origin/bottom_108.png,origin,0,bottom
109,bottom/origin/bottom_109.png,origin,0,bottom
110,bottom/origin/bottom_110.png,origin,0,bottom
111,bottom/origin/bottom_111.png,origin,0,bottom
112,bottom/origin/bottom_112.png,origin,0,bottom
113,bottom/origin/bottom_113.png,origin,0,bottom
114,bottom/origin/bottom_114.png,origin,0,bottom
115,bottom/origin/bottom_115.png,origin,0,bottom
116,bottom/origin/bottom_116.png,origin,0,bottom
117,bottom/origin/bottom_117.png,origin,0,bottom
118,bottom/origin/bottom_118.png,origin,0,bottom
119,bottom/origin/bottom_119.png,origin,0,bottom
120,bottom/origin/bottom_120.png,origin,0,bottom
121,bottom/origin/bottom_121.png,origin,0,bottom
122,bottom/origin/bottom_122.png,origin,0,bottom
123,bottom/origin/bottom_123.png,origin,0,bottom
124,bottom/origin/bottom_124.png,origin,0,bottom
125,bottom/origin/bottom_125.png,origin,0,bottom
126,bottom/origin/bottom_126.png,origin,0,bottom
127,bottom/origin/bottom_127.png,origin,0,bottom
128,bottom/origin/bottom_128.png,origin,0,bottom
129,bottom/origin/bottom_129.png,origin,0,bottom
130,bottom/origin/bottom_130.png,origin,0,bottom
131,bottom/origin/bottom_131.png,origin,0,bottom
132,bottom/origin/bottom_132.png,origin,0,bottom
133,bottom/origin/bottom_133.png,origin,0,bottom
134,bottom/origin/bottom_134.png,origin,0,bottom
135,bottom/origin/bottom_135.png,origin,0,bottom
136,bottom/origin/bottom_136.png,origin,0,bottom
137,bottom/origin/bottom_137.png,origin,0,bottom
138,bottom/origin/bottom_138.png,origin,0,bottom
139,bottom/origin/bottom_139.png,origin,0,bottom
140,bottom/origin/bottom_140.png,origin,0,bottom
141,bottom/origin/bottom_141.png,origin,0,bottom
142,bottom/origin/bottom_142.png,origin,0,bottom
143,bottom/origin/bottom_143.png,origin,0,bottom
144,bottom/origin/bottom_144.png,origin,0,bottom
145,bottom/origin/bottom_145.png,origin,0,bottom
146,bottom/origin/bottom_146.png,origin,0,bottom
147,bottom/origin/bottom_147.png,origin,0,bottom
148,bottom/origin/bottom_148.png,origin,0,bottom
149,bottom/origin/bottom_149.png,origin,0,bottom
