frame,file_loc,category,sub_index,folder
0,left/origin/left_0.png,origin,0,left
1,left/origin/left_1.png,origin,0,left
2,left/origin/left_2.png,origin,0,left
3,left/origin/left_3.png,origin,0,left
4,left/origin/left_4.png,origin,0,left
5,left/origin/left_5.png,origin,0,left
6,left/origin/left_6.png,origin,0,left
7,left/origin/left_7.png,origin,0,left
8,left/origin/left_8.png,origin,0,left
9,left/origin/left_9.png,origin,0,left
10,left/origin/left_10.png,origin,0,left
11,left/origin/left_11.png,origin,0,left
12,left/origin/left_12.png,origin,0,left
13,left/origin/left_13.png,origin,0,left
14,left/origin/left_14.png,origin,0,left
15,left/origin/left_15.png,origin,0,left
16,left/origin/left_16.png,origin,0,left
17,left/origin/left_17.png,origin,0,left
18,left/origin/left_18.png,origin,0,left
19,left/origin/left_19.png,origin,0,left
20,left/origin/left_20.png,origin,0,left
21,left/origin/left_21.png,origin,0,left
22,left/origin/left_22.png,origin,0,left
23,left/origin/left_23.png,origin,0,left
24,left/origin/left_24.png,origin,0,left
25,left/origin/left_25.png,origin,0,left
26,left/origin/left_26.png,origin,0,left
27,left/origin/left_27.png,origin,0,left
28,left/origin/left_28.png,origin,0,left
29,left/origin/left_29.png,origin,0,left
30,left/origin/left_30.png,origin,0,left
31,left/origin/left_31.png,origin,0,left
32,left/origin/left_32.png,origin,0,left
33,left/origin/left_33.png,origin,0,left
34,left/origin/left_34.png,origin,0,left
35,left/origin/left_35.png,origin,0,left
36,left/origin/left_36.png,origin,0,left
37,left/origin/left_37.png,origin,0,left
38,left/origin/left_38.png,origin,0,left
39,left/origin/left_39.png,origin,0,left
40,left/origin/left_40.png,origin,0,left
41,left/origin/left_41.png,origin,0,left
42,left/origin/left_42.png,origin,0,left
43,left/origin/left_43.png,origin,0,left
44,left/origin/left_44.png,origin,0,left
45,left/origin/left_45.png,origin,0,left
46,left/origin/left_46.png,origin,0,left
47,left/origin/left_47.png,origin,0,left
48,left/origin/left_48.png,origin,0,left
49,left/origin/left_49.png,origin,0,left
50,left/origin/left_50.png,origin,0,left
51,left/origin/left_51.png,origin,0,left
52,left/origin/left_52.png,origin,0,left
