scorer,,,jonathan,jonathan,jonathan,jonathan,jonathan,jonathan,jonathan,jonathan,jonathan,jonathan,jonathan,jonathan
bodyparts,,,mouth tip,mouth tip,gill,gill,root of pelvic fin,root of pelvic fin,caudal peduncle,caudal peduncle,lower tip of caudal fin,lower tip of caudal fin,middle of caudal fin,middle of caudal fin
coords,,,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,cam-4_0514-1549,cam-4_10.png,848.540146,542.335766,,,872.992701,597.810219,906.569343,693.065693,927.372263,723.722628,,
labeled-data,cam-4_0514-1549,cam-4_11.png,525.882353,533.529412,,,575.882353,534.117647,679.411765,531.176471,732.941176,516.470588,721.176471,515.294118
labeled-data,cam-4_0514-1549,cam-4_12.png,182.47012,394.820717,,,231.075697,427.091633,313.14741,484.462151,358.167331,519.920319,,
labeled-data,cam-4_0514-1549,cam-4_13.png,197.87234,252.659574,,,189.893617,304.255319,187.765957,408.510638,189.361702,468.085106,196.276596,465.957447
labeled-data,cam-4_0514-1549,cam-4_131.png,,,,,,,,,,,,
labeled-data,cam-4_0514-1549,cam-4_138.png,,,,,,,,,,,,
labeled-data,cam-4_0514-1549,cam-4_139.png,118.823529,630.0,,,68.235294,652.941176,,,,,,
labeled-data,cam-4_0514-1549,cam-4_14.png,216.908213,256.521739,,,190.821256,302.415459,161.835749,392.753623,184.057971,454.10628,,
labeled-data,cam-4_0514-1549,cam-4_140.png,162.608696,587.826087,,,117.391304,615.652174,,,,,,
labeled-data,cam-4_0514-1549,cam-4_141.png,171.304348,576.521739,,,125.217391,605.217391,,,,,,
labeled-data,cam-4_0514-1549,cam-4_142.png,173.913043,574.782609,,,122.608696,606.956522,,,,,,
labeled-data,cam-4_0514-1549,cam-4_143.png,241.73913,528.695652,,,197.211155,558.565737,115.139442,616.733068,60.0,636.521739,69.322709,639.043825
labeled-data,cam-4_0514-1549,cam-4_144.png,339.442231,458.565737,,,296.015936,488.844622,207.171315,543.426295,147.808765,563.346614,163.346614,569.322709
labeled-data,cam-4_0514-1549,cam-4_145.png,367.870036,444.043321,,,314.801444,476.534296,229.241877,522.021661,179.061372,552.707581,191.696751,551.263538
labeled-data,cam-4_0514-1549,cam-4_146.png,445.487365,393.501805,,,398.555957,424.187726,316.606498,479.422383,260.288809,501.083032,269.314079,503.249097
labeled-data,cam-4_0514-1549,cam-4_147.png,472.563177,393.140794,,,420.938628,418.050542,333.935018,457.039711,298.194946,511.552347,297.472924,485.920578
labeled-data,cam-4_0514-1549,cam-4_148.png,519.298246,367.105263,,,466.666667,401.754386,389.912281,446.929825,334.210526,477.631579,,
labeled-data,cam-4_0514-1549,cam-4_149.png,582.47012,301.593625,,,534.661355,338.645418,459.760956,394.422311,410.358566,434.661355,,
labeled-data,cam-4_0514-1549,cam-4_15.png,225.631769,254.512635,,,194.584838,296.028881,138.628159,376.534296,106.859206,435.018051,,
labeled-data,cam-4_0514-1549,cam-4_150.png,483.77193,371.491228,,,440.789474,417.105263,378.508772,483.333333,357.017544,544.298246,,
labeled-data,cam-4_0514-1549,cam-4_151.png,409.661836,459.903382,,,368.115942,499.033816,296.618357,574.396135,269.565217,626.086957,279.227053,619.323671
labeled-data,cam-4_0514-1549,cam-4_152.png,305.263158,539.035088,,,266.22807,593.859649,210.526316,667.54386,196.929825,732.45614,,
